original_answer
San Siro is AC Milan's home ground.
"San Siro has a capacity of 80,018."
Paolo Scaroni is AC Milan's chairman.
Soares is a forward in FC Porto's squad with 35 goals.
Soares has 67 caps.
"Soares was date of birth on January 17, 1991."
Soares wears jersey number 29.
Soares is 1.87 meters height.
Pepe is another defender for FC Porto.
Pepe has scored 2 goals.
Pepe has 12 caps.
"Pepe was date of birth on February 26, 1983."
Pepe wears jersey number 33.
Pepe is 1.87 meters height.
Fernando is a forward in FC Porto's squad with 8 caps.
Fernando has scored 0 goals.
"Fernando was date of birth on January 8, 1993."
Fernando wears jersey number 37.
Fernando is 1.82 meters height.
Iker Casillas is oldest player
Alphonso Davies is youngest player
the football game is wednesday at 10am
"i'm not sure but is it hernâni jorge santos fortes, maybe?"
"no, portugal didn't  win the world cup, francia wins."
yes they won the last europcup
03-Jan
i don't think they have a chance of winning
i'd say portugal are within the top 10 of international football teams currently out there
i thought it was great because the teams were not what everyone expected this year.
barcelona
who is the best team
france in the best team
they could if they knew how to play.
how the hell like bayern munich?
i like lewandowski because he scores lots of goals. 
"it's nice to see bayern munich, but i think it's better thiago"
"for sure, theyll have some competition from bvb but they should pull it off"
he is in his thirtys
luis suarez
messi
"i think he's a decent player, but has poor sportsmanship."
i think ballotelli is
