question,answer_text
When was Thiago date of birth?,"Thiago was date of birth on April 11, 1991."
What jersey number does Thiago wear?,Thiago wears jersey number 6.
How height is Thiago?,Thiago is 1.74 meters height.
Who is another midfielder in Bayern Munich's squad?,Javi Martinez is another midfielder for Bayern Munich.
How many goals has Javi Martinez scored for Bayern Munich?,Javi Martinez has scored 9 goals.
How many caps  does Javi Martinez have?,Javi Martinez has 130 caps.
When was Javi Martinez date of birth?,"Javi Martinez was date of birth on September 2, 1988."
What jersey number does Javi Martinez wear?,Javi Martinez wears jersey number 8.
How height is Javi Martinez?,Javi Martinez is 1.90 meters height.
Who is another forward in Bayern Munich's squad with a high number of goals?,Robert Lewandowski is another forward in Bayern Munich's squad with 128 goals.
How many caps  does Robert Lewandowski have?,Robert Lewandowski has 159 caps.
When was Robert Lewandowski date of birth?,"Robert Lewandowski was date of birth on August 21, 1988."
What jersey number does Robert Lewandowski wear?,Robert Lewandowski wears jersey number 9.
How height is Robert Lewandowski?,Robert Lewandowski is 1.85 meters height.
Who is a midfielder in Bayern Munich's squad with a notable number of goals?,Kingsley Coman is a midfielder in Bayern Munich's squad with 9 goals.
How many caps  does Kingsley Coman have?,Kingsley Coman has 42 caps.
